System,CPU-Precision,Clock-MHz,MWIPS,MFLOPS,MIPS-VAX,MWIPS-DP,Lang,Opt,Cost-$K,Year-intro
DEC VAXStn 3100,P8 CVAX,11,2.63,0.67,3.03,1.74,For,Opt,8,1989
DEC MicroVAX 3100,P8 CVAX,11,2.85,NA,NA,1.76,For,Opt,9,1989
DEC MicroVAX 3400,P8 CVAX,10,2.25,0.60,2.70,1.50,For,Opt,46,1989
DEC MicroVAX 3600,P8 CVAX,11,2.73,0.70,3.11,1.71,For,Opt,100,1987
DEC MicroVAX 3900,P8 CVAX,16.7,4.42,NA,NA,2.87,For,Opt,120,1989
DEC VAX 6310,P8,16.7,3.73,0.91,4.09,2.57,For,Opt,155,1988
DEC VAX 6410,P8,36,8.32,2.15,9.41,5.88,For,Opt,205,1989
DEC VAX 8250,P8,NA,1.31,0.35,1.51,0.890,For,Opt,90,1987
DEC VAX 8350 1 cp,P8,NA,1.34,0.36,1.53,0.770,For,Opt,124,1987
DEC VAX 8550,P8,22.2,5.75,1.50,6.91,3.89,For,Opt,364,1986
DEC VAX 8600 FPA,P8,12.5,4.15,1.33,4.21,2.54,For,Opt,350,1985
DEC VAX 8600 FPA,P8,12.5,3.89,1.06,3.71,2.43,For,No,350,1985
DEC VAX 8600 FPA,P8,12.5,2.09,NA,NA,NA,Bas,NA,350,1985
DEC VAX 8600 FPA,P8,12.5,3.79,NA,NA,2.57,Pas,NA,350,1985
DEC VAX 8600 FPA,P8,12.5,4.17,NA,NA,2.55,PL1,NA,350,1985
DEC VAX 8650,P8,22.2,6.15,1.97,5.92,4.01,For,Opt,400,1985
DEC VAX 8650,P8,22.2,5.77,1.44,5.27,3.87,For,No,400,1985
DEC VAX 8700,P8,22.2,5.99,1.50,6.96,3.73,For,Opt,433,1986
DEC VAX 8700,P8,22.2,4.98,1.16,5.81,3.41,For,No,433,1986
DEC VAX 4000-300,P8,35.7,8.93,NA,NA,6.25,For,Opt,75,1990
DEC DECstation 3100,R2000,16.7,13.0,NA,NA,10.3,For,xxx,22,1988
DEC DECstation 5400,R3000,20.0,17.2,NA,NA,NA,For,xxx,49,1989
DEC PC AXP 150,A21064,150,92,NA,NA,92,For,xxx,6.8,1993
DEC 2000/300,A21064,150,122,NA,NA,109,For,xxx,13,1993
DEC 2100/500,A21064,190,89.0,NA,NA,75.0,For,xxx,NA,1993
DEC 3000/400,A21064,133,47.0,NA,NA,43.5,For,xxx,17.5,1993
DEC 3000/400,A21064,133,99.0,NA,NA,82.0,For,xxx,17.5,1993
DEC 3000/600,A21064,175,144,NA,NA,129,For,xxx,20,1993
DEC 3000/600,A21064,175,140,NA,NA,121,For,xxx,20,1993
DEC 3000/800,A21064,200,155,NA,NA,129,For,xxx,36,1993
DEC 4000/710,A21064,190,156,NA,NA,140,For,xxx,62,1993
DEC 4000/710,A21064,190,150,NA,NA,130,For,xxx,62,1993
DEC 3000/800,A21064,200,165,NA,NA,148,For,xxx,36,1993
DEC 7000/610,A21064,200,165,NA,NA,147,For,xxx,168,1993
DEC 1000/4/200,A21064,200,189,NA,NA,178,For,xxx,NA,1994
DEC 2000/4/200,A21064,190,156,NA,NA,140,For,xxx,NA,1994
